运输地址ID,线路名称,Xiamen.经度,Xiamen.纬度,location
316,线路9,118.263078,24.657008,"118.263078,24.657008"
12910,线路9,118.253027,24.661568,"118.253027,24.661568"
12912,线路9,118.251707,24.657812,"118.251707,24.657812"
950,线路9,118.2483,24.65961,"118.248300,24.659610"
236389,线路9,118.246059,24.659029,"118.246059,24.659029"
2564407,线路9,118.255771,24.642863,"118.255771,24.642863"
12901,线路9,118.248896,24.626707,"118.248896,24.626707"
2208671,线路9,118.214061,24.6283,"118.214061,24.628300"
2550315,线路9,118.216083,24.668582,"118.216083,24.668582"
2239099,线路10,118.254691,24.738429,"118.254691,24.738429"
12913,线路10,118.25658,24.738547,"118.256580,24.738547"
