TRANSID,ROUTEID,location
,,"118.007317,24.598948"
405,线路11,"118.037239,24.565094"
407,线路11,"118.037089,24.564115"
410,线路3,"118.123560,24.488194"
414,线路8,"118.104804,24.593340"
417,线路10,"118.134504,24.727497"
428,线路4,"118.141890,24.476170"
433,线路7,"118.100357,24.519862"
20,线路8,"118.103757,24.584482"
37,线路10,"118.157244,24.733853"
52,线路4,"118.172933,24.467813"
67,线路7,"118.093970,24.506962"
69,线路7,"118.100553,24.515016"
103,线路8,"118.106309,24.595218"
106,线路11,"118.042085,24.564369"
109,线路11,"118.028432,24.563545"
139,线路4,"118.167481,24.470204"
141,线路11,"118.048092,24.561390"
194,线路6,"118.150087,24.511449"
273,线路11,"118.043508,24.572125"
314,线路3,"118.111082,24.495411"
324,线路9,"118.279056,24.666780"
335,线路3,"118.115270,24.474423"
338,线路3,"118.116570,24.475922"
341,线路3,"118.114906,24.469906"
347,线路1,"118.083450,24.444600"
355,线路3,"118.121047,24.491741"
534,线路2,"118.094721,24.470405"
542,线路2,"118.097381,24.470930"
544,线路2,"118.097381,24.470930"
545,线路2,"118.097381,24.470930"
546,线路2,"118.097381,24.470930"
548,线路2,"118.097381,24.470930"
550,线路2,"118.097381,24.470930"
556,线路1,"118.105467,24.465604"
609,线路10,"118.147665,24.706072"
613,线路1,"118.088899,24.450850"
615,线路1,"118.088899,24.450850"
616,线路1,"118.122141,24.435002"
619,线路1,"118.089044,24.442829"
621,线路1,"118.084260,24.455598"
622,线路1,"118.078965,24.454712"
626,线路12,"118.039736,24.454813"
637,线路7,"118.103150,24.523909"
638,线路11,"117.997091,24.603403"
639,线路8,"118.034762,24.628128"
678,线路8,"118.102183,24.568970"
685,线路8,"118.155715,24.655893"
789,线路10,"118.199130,24.712909"
791,线路10,"118.188599,24.707510"
1238,线路3,"118.121223,24.484604"
1283,线路21,"118.097732,24.471498"
1284,线路21,"118.111165,24.493634"
1286,线路21,"118.087739,24.452627"
892,线路10,"118.149650,24.734747"
893,线路10,"118.149650,24.734747"
1025,线路3,"118.113428,24.480310"
1035,线路1,"118.081769,24.450764"
1040,线路12,"118.010242,24.534007"
1067,线路12,"117.997233,24.520716"
1090,线路1,"118.095752,24.458999"
1093,线路1,"118.095752,24.458999"
1012,线路6,"118.140663,24.500073"
1905,线路1,"118.081864,24.450523"
2543,线路8,"118.103757,24.584482"
2559,线路1,"118.088084,24.450990"
2576,线路1,"118.084150,24.455109"
3517,线路12,"117.997233,24.520716"
3144,线路3,"118.114401,24.494186"
3283,线路4,"118.171506,24.505595"
3278,线路4,"118.171506,24.505595"
4326,线路12,"118.038991,24.490703"
5264,线路5,"118.144087,24.483513"
7478,线路10,"118.148577,24.727251"
12365,线路10,"118.145737,24.715991"
12854,线路2,"118.092648,24.480247"
12856,线路4,"118.172265,24.468992"
12859,线路11,"118.030446,24.566353"
12871,线路8,"118.105993,24.593378"
12872,线路3,"118.116395,24.494753"
12893,线路9,"118.250079,24.659526"
12894,线路11,"118.029132,24.564855"
12899,线路8,"118.099487,24.575474"
12901,线路9,"118.248896,24.626707"
12902,线路7,"118.095112,24.507041"
12905,线路4,"118.159617,24.474933"
12907,线路6,"118.122174,24.509149"
12908,线路7,"118.106571,24.526993"
12910,线路9,"118.253027,24.661568"
12911,线路12,"118.032390,24.493505"
12912,线路9,"118.251707,24.657812"
12913,线路10,"118.256580,24.738547"
12812,线路2,"118.097117,24.471195"
12873,线路3,"118.111779,24.493764"
12874,线路9,"118.246320,24.609690"
12876,线路1,"118.095176,24.457484"
12881,线路8,"118.102106,24.572355"
12883,线路3,"118.116472,24.482788"
12884,线路6,"118.146098,24.501697"
12819,线路7,"118.112061,24.525739"
12824,线路7,"118.110027,24.506248"
12861,线路12,"118.040179,24.491504"
14196,线路3,"118.113753,24.470140"
12895,线路2,"118.086414,24.477404"
12833,线路7,"118.102711,24.523599"
12834,线路1,"118.087739,24.452627"
13033,线路9,"118.245828,24.648139"
18836,线路1,"118.080463,24.456980"
19236,线路7,"118.101480,24.504350"
29095,线路4,"118.154924,24.486882"
22103,线路7,"118.106354,24.509684"
20177,线路4,"118.162088,24.528988"
23943,线路10,"118.174621,24.721185"
23990,线路2,"118.091819,24.466695"
20238,线路5,"118.130768,24.493422"
30611,线路3,"118.117849,24.482821"
30232,线路2,"118.099334,24.461551"
19537,线路8,"118.103757,24.584482"
23803,线路6,"118.144212,24.508481"
30555,线路11,"118.040935,24.582479"
30792,线路12,"118.039736,24.454813"
29411,线路4,"118.145730,24.478710"
30349,线路10,"118.149650,24.734747"
19518,线路8,"118.103757,24.584482"
30550,线路6,"118.140663,24.500073"
30503,线路9,"118.248300,24.659610"
32590,线路4,"118.153870,24.479743"
30590,线路1,"118.088899,24.450850"
30593,线路12,"117.994311,24.530359"
19577,线路8,"118.101947,24.603970"
21622,线路4,"118.178764,24.510275"
27331,线路9,"118.245821,24.603811"
28950,线路12,"118.040331,24.499118"
21836,线路8,"118.095670,24.572998"
29730,线路3,"118.122720,24.477007"
30256,线路1,"118.081074,24.457528"
30279,线路5,"118.122838,24.480834"
38158,线路3,"118.114051,24.478383"
37752,线路8,"118.104766,24.586503"
45413,线路12,"118.039439,24.497422"
44673,线路2,"118.093580,24.469114"
39993,线路3,"118.112836,24.482096"
61795,线路2,"118.098000,24.468709"
61873,线路11,"118.028582,24.578388"
42113,线路21,"118.104700,24.586547"
35451,线路4,"118.160112,24.500061"
34752,线路8,"118.106760,24.585540"
35571,线路4,"118.156837,24.482394"
45393,线路12,"118.039439,24.497422"
41613,线路3,"118.112706,24.482481"
35192,线路4,"118.162188,24.476703"
172496,线路4,"118.160034,24.486334"
179247,线路9,"118.231951,24.564465"
236389,线路9,"118.246059,24.659029"
1029422,线路1,"118.082589,24.451168"
326177,线路10,"118.144797,24.708488"
388173,线路1,"118.115017,24.470045"
396561,线路2,"118.088763,24.469162"
396342,线路4,"118.176405,24.502010"
387433,线路3,"118.125783,24.470805"
392116,线路21,"118.144797,24.708488"
386773,线路7,"118.097328,24.513571"
393356,线路8,"118.146044,24.666334"
392602,线路7,"118.111138,24.528157"
910268,线路4,"118.171110,24.506335"
910293,线路4,"118.171110,24.506335"
529756,线路4,"118.158721,24.473365"
558641,线路8,"118.046999,24.611979"
619792,线路4,"118.149509,24.509501"
715957,线路3,"118.121101,24.484532"
694281,,"118.149509,24.509501"
694282,,"118.149509,24.509501"
832149,线路4,"118.191145,24.474053"
885734,线路4,"118.162006,24.528954"
694191,线路4,"118.149509,24.509501"
841530,线路2,"118.081266,24.459993"
427068,线路3,"118.123312,24.484594"
995200,线路2,"118.101168,24.468779"
1045231,线路12,"118.010242,24.534007"
1158149,线路21,"118.040179,24.491504"
1223661,线路10,"118.146508,24.737497"
1058865,线路8,"118.103757,24.584482"
1179167,线路9,"118.265977,24.587977"
1669367,线路8,"118.103757,24.584482"
1376566,线路10,"118.088926,24.775473"
1477552,线路21,"118.246059,24.659271"
1365685,线路10,"118.150272,24.728050"
1591530,线路11,"118.005483,24.581570"
1408940,线路6,"118.157359,24.509425"
1384646,线路4,"118.190751,24.503138"
1486931,线路4,"118.172321,24.508707"
1562831,线路5,"118.133731,24.499214"
1417295,线路8,"118.102857,24.584130"
1523450,线路12,"118.034896,24.492155"
1686982,线路9,"118.265977,24.587977"
1696283,线路9,"118.265977,24.587977"
1471712,线路6,"118.125566,24.510760"
2002263,线路1,"118.087579,24.452180"
2088366,线路8,"118.103757,24.584482"
2004144,线路5,"118.134468,24.493839"
1873266,线路8,"118.103757,24.584482"
2205454,线路4,"118.178529,24.501905"
2206036,线路6,"118.144056,24.499588"
2205611,线路12,"118.029549,24.530105"
1853736,线路5,"118.146312,24.497199"
1816254,线路21,"118.039493,24.489194"
2208671,线路9,"118.214061,24.628300"
2208832,线路11,"118.024016,24.585448"
2215965,线路12,"117.996014,24.529206"
2208785,线路8,"118.103757,24.584482"
2136393,线路7,"118.110804,24.532742"
2208036,线路3,"118.118050,24.472638"
1886651,线路11,"117.991297,24.597584"
2206556,线路9,"118.210970,24.680007"
1894980,线路1,"118.089149,24.450021"
2229554,线路4,"118.149509,24.509501"
2229555,线路4,"118.149509,24.509501"
2227211,线路4,"118.190751,24.503138"
2226287,线路21,"118.110027,24.506248"
2229663,线路1,"118.083540,24.454711"
2230167,线路11,"118.060024,24.577006"
2226464,线路4,"118.159552,24.514786"
2226517,线路8,"118.156515,24.651520"
2228497,线路3,"118.111801,24.474981"
2230009,线路3,"118.100530,24.472286"
2227934,线路4,"118.179501,24.502857"
2229298,线路12,"118.048950,24.485550"
2228524,线路11,"118.064537,24.573213"
2229762,线路2,"118.083499,24.475154"
2226152,线路8,"118.103757,24.584482"
2229325,线路11,"118.060024,24.577006"
2229547,线路4,"118.149509,24.509501"
2228761,线路1,"118.086641,24.451664"
2229137,线路7,"118.117657,24.506864"
2236875,线路2,"117.964783,24.580929"
2236883,线路6,"117.964783,24.580929"
2236919,线路3,"117.964783,24.580929"
2236921,线路6,"117.964783,24.580929"
2236922,线路4,"117.964783,24.580929"
2236925,线路2,"117.964783,24.580929"
2236938,线路8,"117.964783,24.580929"
2236943,线路8,"117.964783,24.580929"
2236950,线路11,"117.964783,24.580929"
2236954,线路9,"117.964783,24.580929"
2236955,线路10,"117.964783,24.580929"
2236957,线路12,"117.964783,24.580929"
2236971,线路1,"117.964783,24.580929"
2236978,线路12,"117.964783,24.580929"
2236982,线路11,"117.964783,24.580929"
2236984,线路12,"117.964783,24.580929"
2236991,线路5,"117.964783,24.580929"
2236698,线路8,"118.058465,24.601792"
2236423,线路12,"118.032739,24.476180"
2236886,线路4,"117.964783,24.580929"
2237034,线路3,"118.111640,24.493738"
2236166,线路4,"118.171664,24.505393"
2237033,线路11,"118.007546,24.598598"
2237411,线路8,"118.167905,24.672118"
2243935,线路6,"118.143929,24.504098"
2242991,线路10,"118.115655,24.690140"
2240789,线路1,"118.087673,24.450941"
2244345,线路6,"118.139780,24.504711"
2237408,线路11,"117.964783,24.580929"
2244344,线路9,"118.243579,24.567386"
2238224,线路11,"117.964783,24.580929"
2239902,线路11,"117.996629,24.618871"
2244691,线路8,"118.109440,24.588265"
2240637,线路4,"118.190751,24.503138"
2237179,线路11,"118.007546,24.598598"
2241045,线路9,"118.265977,24.587977"
2243757,线路8,"118.091260,24.585508"
2238805,线路11,"118.037089,24.564115"
2239427,线路11,"118.058017,24.578017"
2242105,线路11,"118.007546,24.598598"
2242109,线路7,"118.106768,24.527533"
2242134,线路10,"118.150272,24.728050"
2239496,线路12,"117.951427,24.525334"
2241494,线路1,"118.081074,24.457528"
2236381,线路21,"118.087433,24.453163"
2241501,线路3,"118.117849,24.482821"
2241515,线路8,"118.156515,24.651520"
2241522,线路7,"118.117657,24.506864"
2238869,线路10,"118.086910,24.685936"
2238903,线路10,"118.122103,24.691773"
2241529,线路6,"118.125566,24.510760"
2241535,线路11,"118.040935,24.582479"
2241537,线路11,"118.042085,24.564369"
2241542,线路5,"118.122838,24.480834"
2241558,线路1,"118.088899,24.450850"
2242181,线路6,"118.136616,24.520526"
2242191,线路9,"118.210970,24.680007"
2241625,线路8,"118.106760,24.585540"
2242233,线路4,"118.179501,24.502857"
2242244,线路11,"118.060024,24.577006"
2241638,线路8,"118.152762,24.653929"
2241646,线路3,"118.119791,24.484626"
2238731,线路11,"118.032154,24.558043"
2238830,线路11,"118.062550,24.572070"
2239479,线路10,"118.123162,24.701559"
2239126,线路6,"118.147148,24.529936"
2241771,线路10,"118.149650,24.734747"
2241820,线路9,"118.248300,24.659610"
2239173,线路8,"118.116302,24.596263"
2242309,线路2,"118.099612,24.461046"
2241908,线路7,"118.111138,24.528157"
2241916,线路4,"118.160112,24.500061"
2241927,线路3,"118.112836,24.482096"
2241944,线路11,"118.042276,24.564260"
2242363,线路11,"118.003375,24.599205"
2239253,线路11,"117.987781,24.608523"
2239267,线路11,"118.023677,24.559676"
2239295,线路8,"118.111424,24.606161"
2241966,线路10,"118.134504,24.727497"
2242061,线路11,"118.007546,24.598598"
2242077,线路3,"118.120580,24.484302"
2337859,线路12,"118.029409,24.530985"
2280473,线路8,"118.157153,24.651879"
2541174,线路7,"118.094567,24.517094"
2597657,线路1,"118.103317,24.464313"
2613374,线路1,"118.103317,24.464313"
2647458,线路5,"118.135120,24.498669"
3382915,线路1,"118.082299,24.450024"
3404162,线路8,"118.150527,24.654519"
3151022,线路8,"118.109005,24.588089"
3152457,线路9,"118.246103,24.605084"
3290555,线路12,"117.996060,24.532710"
3172910,线路11,"118.028582,24.578388"
3174064,线路11,"118.032599,24.589192"
2753306,线路7,"118.103150,24.523909"
2753308,线路1,"118.119595,24.430970"
3404137,线路12,"118.018893,24.532197"
3404421,线路12,"117.996599,24.530932"
3338826,线路1,"118.093965,24.456136"
3354186,线路7,"118.111101,24.529374"
3404868,线路2,"118.092579,24.468720"
2330484,线路6,"118.150087,24.511449"
3397071,线路3,"118.100530,24.472286"
3404544,线路12,"117.964783,24.580929"
3404559,线路8,"118.149558,24.632793"
3404693,线路6,"118.114714,24.549335"
3404809,线路11,"118.006296,24.578791"
3404845,线路2,"118.091819,24.466695"
